Date,Open,High,Low,Close,Volume,Adj Close
4/2/2015,139.83,140.9,139.63,140.02,249000,140.02
4/1/2015,138.33,138.66,137.77,138.48,358900,138.48
3/31/2015,140.88,140.94,139.71,139.89,555100,139.89
3/30/2015,141.67,142.94,141.38,142.55,484100,142.55
3/27/2015,142.34,142.51,141.72,142.4,238100,142.4
3/26/2015,143,143.66,142.71,143.11,324400,143.11
3/25/2015,145.25,145.25,143.78,143.81,328600,143.81
3/24/2015,145.23,145.23,144.4,144.52,303700,144.52
3/23/2015,145.33,145.8,144.95,145.32,480700,145.32
3/20/2015,142.64,143.5,142.53,143.09,405700,143.09
3/19/2015,140.14,140.59,139.65,140.1,310600,140.1
3/18/2015,139.1,140.26,138.49,140.08,457900,140.08
3/17/2015,137.09,137.37,136.6,136.96,816400,136.96
3/16/2015,137.36,138.14,137.16,137.52,271000,137.52
3/13/2015,135.86,136.38,135.46,136.17,393200,136.17
3/12/2015,136.17,137.67,136.17,137.53,313200,137.53
3/11/2015,134.2,134.45,133.83,134,222700,134
3/10/2015,134.15,134.38,133.6,133.69,220900,133.69
3/9/2015,135.5,135.65,134.94,135.39,174100,135.39
3/6/2015,135.32,135.98,134.7,134.89,184700,134.89
3/5/2015,134.96,135.42,134.65,134.9,232900,134.9
3/4/2015,135.4,135.59,134.4,135.52,205500,135.52
3/3/2015,135.37,135.84,135.07,135.4,208000,135.4
3/2/2015,135.25,136,135.25,135.87,254500,135.87
2/27/2015,135.35,135.8,135.35,135.37,219900,135.37
2/26/2015,136.88,137.46,136.63,136.8,258000,136.8
2/25/2015,136.8,137.14,136.39,136.87,236800,136.87
2/24/2015,137.6,138.7,137.24,138.34,335000,138.34
2/23/2015,136.9,137.2,136.41,136.98,199800,136.98
2/20/2015,135.94,136.99,135.86,136.9,239800,136.9
2/19/2015,134.5,135.49,134.38,135.28,218600,135.28
2/18/2015,133.66,134.36,133.65,134.16,258400,134.16
2/17/2015,132,132.69,132,132.08,365400,132.08
2/13/2015,131.99,132.79,131.99,132.49,301000,132.49
2/12/2015,131.39,131.99,131.2,131.82,327600,131.82
2/11/2015,130.8,131.25,130.74,131.02,449200,131.02
2/10/2015,129.71,131.06,129.71,130.85,229100,130.85
2/9/2015,129.47,129.75,128.96,129.16,186000,129.16
2/6/2015,129.77,130.49,129.37,129.57,379900,129.57
2/5/2015,130.98,131.92,130.78,131.74,448000,131.74
2/4/2015,132.2,134.24,132.2,132.68,471300,132.68
2/3/2015,129.55,131.17,129.42,131.1,458000,131.1
2/2/2015,130.1,131.13,129.71,131.09,280200,131.09
1/30/2015,129.49,129.98,128.69,128.85,273900,128.85
1/29/2015,131.48,132.18,130.94,132.15,411800,132.15
1/28/2015,132.23,132.42,130.7,130.95,304100,130.95
1/27/2015,131.13,131.73,130.88,131.1,301000,131.1
1/26/2015,130.98,132.31,130.98,131.86,350600,131.86
1/23/2015,130,130.21,129.5,129.66,292900,129.66
1/22/2015,128.97,130.23,127.96,129.86,235500,129.86
1/21/2015,128.36,128.82,128.01,128.66,606700,128.66
1/20/2015,129.5,129.79,128.76,129.16,436700,129.16
1/16/2015,128.32,129,128.05,128.88,441600,128.88
1/15/2015,127.87,128.37,126.63,126.78,310400,126.78
1/14/2015,125.42,125.98,124.63,125.82,363800,125.82
1/13/2015,127.05,127.87,125.63,126.41,252900,126.41
1/12/2015,126.5,127.74,125.34,126.04,306700,126.04
1/9/2015,127.77,127.77,125.98,126.08,150300,126.08
1/8/2015,126.45,127.7,126.45,127.58,498800,127.58
1/7/2015,125.52,126.06,125.06,125.17,385700,125.17
1/6/2015,123.4,123.72,121.21,122.1,285600,122.1
1/5/2015,124.44,124.61,123.05,123.37,240600,123.37
1/2/2015,126.23,126.64,124.89,125.67,250000,125.67
12/31/2014,125.6,126.21,125.4,125.48,151100,125.48
12/30/2014,125.96,126.07,125.33,125.91,169100,125.91
12/29/2014,127.08,127.6,126.86,127.37,203600,127.37
12/26/2014,127,128.29,127,128.1,160100,128.1
12/24/2014,127.2,127.33,126.76,126.76,80000,126.76
12/23/2014,126.74,127.31,126.56,126.76,188200,126.76
12/22/2014,126.3,126.89,125.93,126.64,598000,126.64
12/19/2014,126.72,127.46,126.52,127.01,396700,127.01
12/18/2014,124.13,124.79,123.82,124.74,306700,124.74
12/17/2014,122,123.63,122,123.22,338000,123.22
12/16/2014,122.36,123.48,121.75,121.94,543500,121.94
12/15/2014,123.54,123.81,121.06,121.55,597000,121.55
12/12/2014,125.66,126.07,124.52,124.54,350100,124.54
12/11/2014,126.55,127.33,125.87,126.09,251900,126.09
12/10/2014,126.9,126.91,125.12,125.49,508800,125.49
12/9/2014,127.85,128.42,126.82,128.36,472100,128.36
12/8/2014,129.04,129.19,128.25,128.42,359500,128.42
12/5/2014,128.86,129.3,128.47,129.03,423500,129.03
12/4/2014,128.81,128.81,128.1,128.6,505100,128.6
12/3/2014,127.5,127.89,127.12,127.71,471300,127.71
12/2/2014,126.56,127.03,126.32,126.57,493800,126.57
12/1/2014,124.66,125.57,124.55,124.94,485800,124.94
11/28/2014,122.91,123.33,122.44,123.13,234400,123.13
11/26/2014,121.99,122,121.41,121.7,291800,121.7
11/25/2014,121.75,121.99,121.74,121.81,190200,121.81
11/24/2014,121.49,121.74,121.3,121.46,661000,121.46
11/21/2014,120.61,121.7,120.61,121.29,920500,121.29
11/20/2014,119.75,120.03,119.51,119.72,163000,119.72
11/19/2014,120.07,120.52,119.46,120.35,389700,120.35
11/18/2014,119.68,120.39,119.57,120.07,332300,120.07
11/17/2014,118.5,119.14,118.08,118.59,324100,118.59
11/14/2014,119.58,119.88,119.23,119.82,214200,119.82
11/13/2014,119.65,120.37,119.65,119.82,269800,119.82
11/12/2014,118.74,118.94,118.11,118.79,252800,118.79
11/11/2014,118.5,119.43,118.43,119.14,526100,119.14
11/10/2014,117.81,118.29,117.5,117.97,429800,117.97
11/7/2014,118.43,118.67,117.68,118.67,570800,118.67
11/6/2014,119.52,119.98,119.02,119.83,435500,119.83
11/5/2014,121.03,121.75,120.41,121.37,394100,121.37
11/4/2014,119.5,119.72,118.31,119.4,569600,119.4
11/3/2014,121.3,122.03,120.81,122,856900,122
10/31/2014,119.05,121.44,118.5,121.35,1280500,121.35
10/30/2014,114.8,116.3,114.79,115.86,194900,115.86
10/29/2014,116,116.65,115.27,115.81,245800,115.81
10/28/2014,114.65,115.1,114.11,115.1,389900,115.1
10/27/2014,114.32,114.85,113.86,114.34,198500,114.34
10/24/2014,114.41,114.65,113.87,114.51,312500,114.51
10/23/2014,113.25,114.15,112.93,113.41,408300,113.41
10/22/2014,113.11,113.42,112.2,112.27,413600,112.27
10/21/2014,112.36,113.47,112.13,113.35,665400,113.35
10/20/2014,112.33,113.5,112.3,113.31,408900,113.31
10/17/2014,108.99,110.39,108.94,109.79,469100,109.79
10/16/2014,108.99,110.84,108.62,110.18,441700,110.18
10/15/2014,109.78,110.38,108.4,110.06,632600,110.06
10/14/2014,111.94,112.04,111.26,111.62,759400,111.62
10/13/2014,114.17,114.67,112.59,112.67,425700,112.67
10/10/2014,115.01,115.75,113.85,113.97,448400,113.97
10/9/2014,116.21,116.3,114.24,114.52,371200,114.52
10/8/2014,115.58,116.35,114.23,116.26,446000,116.26
10/7/2014,117,117.14,115.8,115.82,398400,115.82
10/6/2014,116.61,117.22,116.41,116.7,339200,116.7
10/3/2014,115.7,116.31,115.48,116.16,281500,116.16
10/2/2014,115.02,115.18,113.64,114.48,507300,114.48
10/1/2014,117.94,117.99,116.46,116.65,676800,116.65
9/30/2014,117.9,118.11,117.04,117.53,481100,117.53
9/29/2014,118.07,118.15,117.08,117.52,365700,117.52
9/26/2014,118.24,118.8,118.11,118.65,271300,118.65
9/25/2014,119.02,119.43,117.78,117.87,437800,117.87
9/24/2014,118.06,118.91,118.03,118.85,272900,118.85
9/23/2014,118.98,119,118.02,118.25,314500,118.25
9/22/2014,119.11,119.81,118.91,119.01,409700,119.01
9/19/2014,119.3,119.4,118.56,118.76,262100,118.76
9/18/2014,118.82,119.5,118.74,119.43,356500,119.43
9/17/2014,117.39,117.94,116.88,117.35,262800,117.35
9/16/2014,117.24,117.85,117.02,117.59,320900,117.59
9/15/2014,116.98,117.28,116.69,117.16,176700,117.16
9/12/2014,117.38,117.4,116.83,117.11,233400,117.11
9/11/2014,116.26,116.48,116,116.37,189600,116.37
9/10/2014,116.07,116.59,115.78,116.49,359500,116.49
9/9/2014,115.4,115.45,114.97,115.02,323400,115.02
9/8/2014,116.16,116.31,115.51,116.04,219100,116.04
9/5/2014,116.09,116.42,115.92,116.39,162200,116.39
9/4/2014,116.19,116.76,115.9,116.05,382700,116.05
9/3/2014,116.12,116.36,115.85,115.96,244300,115.96
9/2/2014,115.94,116.21,115.73,116.2,294000,116.2
